end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
1760328000,,,,,,,0.0,0.06,0.0,0.0
1760414400,,,,,,,0.0,0.06,0.0,0.0
1760500800,,,,,,,0.0,0.05,0.0,0.0
1760587200,,,,,,,0.0,0.05,0.0,0.0
1760673600,,,,,,,0.0,0.04,0.0,0.0
1760760000,,,,,,,0.0,0.04,0.0,0.0
1760846400,,,,,,,0.0,0.04,0.0,0.0
1760932800,,,,,,,0.0,0.05,0.0,0.0
1761019200,,,,,,,0.0,0.05,0.0,0.0
1761105600,,,,,,,0.0,0.05,0.0,0.0
1761192000,,,,,,,0.0,0.06,0.0,0.0
1761278400,,,,,,,0.0,0.06,0.0,0.0
1761364800,,,,,,,0.0,0.06,0.0,0.0
1761451200,,,,,,,0.0,0.06,0.0,0.0
1761537600,,,,,,,0.0,0.06,0.0,0.0
1761624000,,,,,,,0.0,0.06,0.0,0.0
1761710400,,,,,,,0.0,0.06,0.0,0.0
1761796800,,,,,,,0.0,0.04,0.0,0.0
1761883200,,,,,,,0.0,0.04,0.0,0.0
1761969600,,,,,,,0.0,0.04,0.0,0.0
1762056000,,,,,,,0.0,0.04,0.0,0.0
1762142400,,,,,,,0.0,0.04,0.0,0.0
1762232400,,,,,,,0.0,0.04,0.0,0.0
1762318800,,,,,,,0.0,0.04,0.0,0.0
1762405200,,,,,,,0.0,0.04,0.0,0.0
1762491600,,,,,,,0.0,0.04,0.0,0.0
1762578000,,,,,,,0.0,0.05,0.0,0.0
1762664400,,,,,,,0.0,0.05,0.0,0.0
1762750800,,,,,,,0.0,0.05,0.0,0.0
1762837200,,,,,,,0.0,0.05,0.0,0.0
1762923600,,,,,,,0.0,0.05,0.0,0.0
1763010000,,,,,,,0.0,0.05,0.0,0.0
1763096400,,,,,,,0.0,0.05,0.0,0.0
1763182800,,,,,,,0.0,0.05,0.0,0.0
1763269200,,,,,,,0.0,0.05,0.0,0.0
1763355600,,,,,,,0.0,0.05,0.0,0.0
1763442000,,,,,,,0.0,0.05,0.0,0.0
1763528400,,,,,,,0.0,0.05,0.0,0.0
1763614800,,,,,,,0.0,0.05,0.0,0.0
1763701200,,,,,,,0.0,0.05,0.0,0.0
1763787600,,,,,,,0.0,0.05,0.0,0.0
1763874000,,,,,,,0.0,0.05,0.0,0.0
1763960400,,,,,,,0.0,0.05,0.0,0.0
1764046800,,,,,,,0.0,0.05,0.0,0.0
1764133200,,,,,,,0.0,0.05,0.0,0.0
1764219600,,,,,,,0.0,0.05,0.0,0.0
1764306000,,,,,,,0.0,0.05,0.0,0.0
1764392400,,,,,,,0.0,0.05,0.0,0.0
1764478800,,,,,,,0.0,0.05,0.0,0.0
